order_id,product_id,city_id,district,county,type,combo_type,traffic_type,passenger_count,driver_product_id,start_dest_distance,arrive_time,departure_time,pre_total_fee,normal_time,bubble_trace_id,product_1level,dest_lng,dest_lat,starting_lng,starting_lat,year,month,day
17592723097880,3,83,0898,460106,0,0,0,0,3,4062,2017-05-19 09:09:29,2017-05-19 09:06:30,11,9,64469c31591e4515af0cab3c2c950902,3,110.3487,20.0159,110.3207,20.0154,2017,05,19
17592726798082,3,83,0898,460106,0,0,0,0,3,3673,2017-05-19 12:28:04,2017-05-19 12:27:22,10,8,6446a132591e74292e4b154c2f0c2602,3,110.342,20.0299,110.3205,20.0238,2017,05,19
17592734991236,1,83,0898,460107,0,0,0,0,0,5576,0000-00-00 00:00:00,2017-05-19 18:12:19,31,NULL,c0a80171b3f30cd878012eb310d00303,1,110.3487,20.0159,110.3613,19.9886,2017,05,19
17592720527242,3,83,0898,460107,0,0,0,0,3,3151,2017-05-19 07:27:53,2017-05-19 07:25:56,9,10,64469c31591e2d83b373ab382721b102,3,110.3753,19.9914,110.3556,20.0032,2017,05,19
17592728830401,3,83,0898,460108,0,0,0,0,3,13957,2017-05-19 14:15:49,2017-05-19 14:13:32,36,18,e9e38003a0f365dff2080079102b0303,3,110.3854,19.9847,110.4791,19.9404,2017,05,19
17592736940786,3,83,0898,460106,0,0,0,0,3,3086,0000-00-00 00:00:00,2017-05-19 19:33:03,14,NULL,64455333591ed7dd3903266332c81602,3,110.3303,19.9877,110.3444,19.9834,2017,05,19
17592718818321,3,83,0898,460108,0,0,0,0,3,8840,2017-05-19 00:21:06,2017-05-19 00:20:21,25,12,6446a132591dc9c4290c1546250a9802,3,110.2893,20.0013,110.3444,20.0264,2017,05,19
17592729640856,3,83,0898,460106,0,0,0,0,3,3426,2017-05-19 14:49:16,2017-05-19 14:44:13,10,15,c060b65f591e943b00000152a0b4cef9,3,110.3334,20.0197,110.3088,20.0231,2017,05,19
17592735338890,3,83,0898,460106,1,0,0,0,0,9859,0000-00-00 00:00:00,2017-05-19 18:50:00,38,NULL,66fe345ac25c9cb8aa0bb23110740303,3,110.3665,20.0561,110.3433,19.9841,2017,05,19
17592738015714,3,83,0898,460106,0,0,0,0,3,7590,2017-05-19 20:22:31,2017-05-19 20:15:41,21,25,64469f34591ee1ed7fa5b1c23bf18b02,3,110.3623,20.0019,110.3117,20.0064,2017,05,19
17592719506090,3,83,0898,460107,0,0,0,0,3,3695,2017-05-19 03:13:01,2017-05-19 02:59:52,11,16,6445ae3a591def2885259e53248ac502,3,110.3401,20.0068,110.359,19.9979,2017,05,19
17592727636493,3,83,0898,460107,0,0,0,0,3,30002,0000-00-00 00:00:00,2017-05-19 13:17:16,89,NULL,7b0a5850fcf52021b1094320107b0303,3,110.1625,20.0274,110.3667,19.9849,2017,05,19
17592731729118,3,83,0898,460108,0,0,0,0,3,7552,2017-05-19 16:30:08,2017-05-19 16:24:37,20,19,d88dbc4d8428b33d7a339a2110a20303,3,110.3264,20.061,110.367,20.034,2017,05,19
17592737658040,3,83,0898,460107,0,0,0,0,3,4888,2017-05-19 20:02:35,2017-05-19 19:53:29,16,1,6445623c591edcb954a8432d3ee64c02,3,110.3746,20.0192,110.355,19.9941,2017,05,19
17592740793108,3,83,0898,460108,0,0,0,0,3,8139,0000-00-00 00:00:00,2017-05-19 22:04:18,20,NULL,6446a132591efb6218fa15223631f302,3,110.3335,20.0315,110.3152,20.0749,2017,05,19
17592724665525,3,83,0898,460106,0,0,0,0,3,5522,2017-05-19 10:28:57,2017-05-19 10:25:46,15,11,64469e3e591e57a9c229892b282fc702,3,110.362,20.0257,110.3247,20.0283,2017,05,19
17592735317539,3,83,0898,460108,0,0,0,0,0,6542,0000-00-00 00:00:00,2017-05-19 18:29:52,24,NULL,beb29d1dcea4f906220dfcae10300303,3,110.3223,19.9975,110.3707,20.0167,2017,05,19
17592740510933,3,83,0898,460108,0,0,0,0,3,3615,2017-05-19 22:00:47,2017-05-19 21:58:16,14,25,64469e3e591ef9f803e889433988d502,3,110.3443,20.0272,110.3679,20.0237,2017,05,19
17592732400629,3,83,0898,460105,0,0,0,0,3,9188,2017-05-19 16:50:56,2017-05-19 16:48:15,25,28,64469e3e591eb14e06d6894e24525c02,3,110.3405,20.0396,110.2848,20.0072,2017,05,19
17592737987740,3,83,0898,460108,0,0,0,0,3,6509,2017-05-19 20:18:04,2017-05-19 20:09:33,16,11,64469f31591ee07d39cd16f435301002,3,110.4329,19.9667,110.4755,19.9418,2017,05,19
17592718933803,3,83,0898,460106,0,0,0,0,3,4907,2017-05-19 00:53:00,2017-05-19 00:49:37,15,11,4afa214d40f218ca1b3d8d8d10320303,3,110.299,20.0013,110.3187,20.0223,2017,05,19
17592725543763,3,83,0898,460108,0,0,0,0,3,3445,2017-05-19 11:25:29,2017-05-19 11:24:31,10,8,e9b09961971cfa88b347c75e10810303,3,110.3468,20.0564,110.33,20.0648,2017,05,19
17592734562353,3,83,0898,460108,0,0,0,0,3,4241,2017-05-19 18:01:33,2017-05-19 18:00:46,12,24,6445b03a591ec2452f141b582f8bb802,3,110.3366,20.0508,110.3626,20.0422,2017,05,19
17592740379450,3,83,0898,460106,0,0,0,0,3,6099,2017-05-19 21:50:57,2017-05-19 21:49:04,17,13,6446a135591ef7d09644467b3f008b02,3,110.3706,20.0147,110.3386,20.0374,2017,05,19
17592742333764,3,83,0898,460105,0,0,0,0,3,2357,2017-05-19 23:26:00,2017-05-19 23:22:18,9,13,c0a8010a0495e6d937550b9510330303,3,110.2484,20.0059,110.2484,20.0139,2017,05,19
17592742080657,3,83,0898,460106,0,0,0,0,3,4011,2017-05-19 23:15:08,2017-05-19 23:12:09,12,13,c0a801a81d900022502c2d7210320303,3,110.3563,20.009,110.3397,20.0304,2017,05,19
17592726185128,3,83,0898,460106,0,0,0,0,3,6563,2017-05-19 11:47:24,2017-05-19 11:47:17,18,20,64469f33591e6ac50439535c2ff3c902,3,110.3206,20.0245,110.3318,19.9807,2017,05,19
17592733444898,3,83,0898,460108,0,0,0,0,3,18822,0000-00-00 00:00:00,2017-05-19 17:21:56,57,NULL,6445ae3a591eb92d86569e5427d8b602,3,110.4847,19.9677,110.3522,20.0351,2017,05,19
